nama,alamat,nama_bangunan,nama_jalan,rt,rw,kelurahan,kecamatan,kota,kode_pos,telepon,fax,selular,ukuran_usaha,kategori_usaha,kegiatan_usaha,jenis_usaha,siup,npwp
ACCESORIS MOTOR BUDI,"Jl. Kesadaran, Jakarta Utara",,Jl. Kesadaran,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
"ACCESS LINTAS SOLUSI , PT","Gedung Berca Indonesia lt. 4 R.403, Jl. Palmerah Utara No. 14, Palmerah, Jakarta Barat",Gedung Berca Indonesia lt. 4 R.403,Jl. Palmerah Utara No. 14,,,,Palmerah,Jakarta Barat,,021 5349380,021 53674760,,Usaha Menengah ,Perdagangan,"Sub. distributor : komputer, alat telekomunikasi",PT,SIUP : NOMOR : 00374 - 03 / PK / 1.824.271,
"ACCUPUNTO INTERNATIONAL, PT","Jl. Dharma Wanita III No. 1, RT012/001, Cengkareng, Jakarta Barat",,Jl. Dharma Wanita III No. 1,012,001,,Cengkareng,Jakarta Barat,,021 6196870,021 5415511,,Usaha Menengah ,Perdagangan,"Pemasok, ekspor - impor furniture / perabot rumah",PT,SIUP : NOMOR : 3233 / 1. 824. 221 / 0609,02.305.570.0-034.000
"ACE MARK EXPORTS, PT","Jl. Sunter Agung Utara Raya Blok D.1 No. 6 Lt.Ii, Tanjung Priuk, Jakarta Utara",,Jl. Sunter Agung Utara Raya Blok D.1 No. 6 Lt.Ii,,,,Tanjung Priuk,Jakarta Utara,,,,,Usaha Kecil ,Perdagangan,Perdagangan ekspor tekstil pakaian jadi dan kulit,PT,BKPM NO.965/I/PMA/2007,"02,624,478,0-058,000"
ACEH GIFT ART,"Komp. Tni Al Pangkalan Jati, Jl. Damar No. 2, Pondok Labu, Cilandak, Jakarta Selatan",Komp. Tni Al Pangkalan Jati,Jl. Damar No. 2,,,Pondok Labu,Cilandak,Jakarta Selatan,,021-7504626,,0812-9909913,,Perdagangan,,PT,,
"ACELCOM JAYA UTAMA, PT","Harco Mangga Dua Blok B lt. 2 No.22, Jl. Mangga Dua Raya, Sawah Besar, Jakarta Pusat",Harco Mangga Dua Blok B lt. 2 No.22,Jl. Mangga Dua Raya,,,,Sawah Besar,Jakarta Pusat,,6121875,,,Usaha Menengah ,Perdagangan,(46511)perdagangan besar komputer & perlengkapan k,PT,DEP.PERINDAG (SIUP) NO.01044-01/1824271,03.048.273.1.026.000
ACHMAD YUNANI R.,"Jl. Raya Bogor Km. 20, Jakarta Timur",,Jl. Raya Bogor Km. 20,,,,,Jakarta Timur,,8005046,,,Usaha Mikro ,,,,,
ACI SALON,"Jl. Jaya 25 Raya Kenanga 4, Jakarta Barat",,Jl. Jaya 25 Raya Kenanga 4,,,,,Jakarta Barat,,,,,Usaha Mikro ,Jasa,Salon kecantikan,PERORANGAN,,
"ACI SECURITY SERVICE, PT","Nuansa Commercial Estate, Jl. Tb. Simatupang Kav. 17 Blok A 1 3, RT011/002, Susukan, Ciracas, Jakarta Timur",Nuansa Commercial Estate,Jl. Tb. Simatupang Kav. 17 Blok A 1 3,011,002,Susukan,Ciracas,Jakarta Timur,,(021) 87796303,,,Usaha Kecil ,Perdagangan,Perdagangan alat keamanan,PT,DEP.PERINDAG (SIUP) NOMOR : 00367-05/PK/1.8,
"ACINTI PRIMA, PT","Jl. Kebon Kacang 30 No. 19, Tanah Abang, Jakarta Pusat",,Jl. Kebon Kacang 30 No. 19,,,,Tanah Abang,Jakarta Pusat,,021 3908060,021 3908060,,Usaha Menengah ,Perdagangan,"Makanan, minuman dan tembakau",PT,DEP. PERINDAG,01.682.946.7.072.000
"ACKIRA ENGINEERING, PT","Jl. Pahlawan Revolusi No. 1/8, RT001/004, Pondok Bambu, Duren Sawit, Jakarta Timur",,Jl. Pahlawan Revolusi No. 1/8,001,004,Pondok Bambu,Duren Sawit,Jakarta Timur,,(021) 86604012,,,Usaha Menengah ,Perdagangan,"Perdagangan alat teknik, mekanikal, elektrikal",PT,DEP.PERINDAG (SIUP) NOMOR : 00447-05/PK/P1/,
"ACL TRANS PRATAMA, PT","Jl. I Gusti Ngurah Rai Ruko Mall Klender Blok B Iii/9, RT008/006, Klender, Duren Sawit, Jakarta Timur",,Jl. I Gusti Ngurah Rai Ruko Mall Klender Blok B Iii/9,008,006,Klender,Duren Sawit,Jakarta Timur,,(021) 53651731,(021) 53651731,,Usaha Kecil ,Jasa,,PT,DEP.PERINDAG (SIUP) NOMOR : 2261/13 - 1.824,
"ACN INDONESIA, PT","Apartemen Mediterania Gajah Mada Residences Ruko Tuc 12, Jl. Gajah Mada No. 174, RT001/005, Tamansari, Jakarta Barat",Apartemen Mediterania Gajah Mada Residences Ruko Tuc 12,Jl. Gajah Mada No. 174,001,005,,Tamansari,Jakarta Barat,,021 30175893,,,Usaha Menengah ,Jasa / Produksi Lainnya,"Sub. distributor, ekspor - impor : alat tehnik /",PT,SIUP : NOMOR : 3353 / 1. 824. 221 / 0709,02.189.698.037.000
ACO CELLULAR,Ramayana Semper lt. 2,Ramayana Semper lt. 2,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang voucher,PERORANGAN,,
ACTIVE MAJU COMPUTER,Harco Mangga Dua Blok B1 No. 20,Harco Mangga Dua Blok B1 No. 20,,,,,,Jakarta Pusat,,7125212,,,Usaha Mikro ,Jasa,Jasa service komputer,PERORANGAN,,
ACU SEKOLAH TARI,"Jl. Hayam Wuruk 107, Jakarta Barat",,Jl. Hayam Wuruk 107,,,,,Jakarta Barat,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
"AD ( ALEX DERMAWAN ) , CV",,,,001,002,,Cengkareng,Jakarta Barat,11730,021 541786,,,Usaha Kecil ,Perdagangan,Hasil peternakan (daging / kulit ternak),CV,NOMOR : 00510 - 03 / PK / 1.824.271,
AD ZIKRA,"Jl. Fatmawati Duta Mas C2 No. 12, Jakarta Selatan",,Jl. Fatmawati Duta Mas C2 No. 12,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,Jasa umroh,PERORANGAN,,
ADA FLORST AND DECORATION,"Jl. Sulaiman No. 49, Jakarta Barat",,Jl. Sulaiman No. 49,,,,,Jakarta Barat,,,,,Usaha Mikro ,Kerajinan,,PERORANGAN,,
"ADAF SAFEER NUSAPALA INDONESIA, PT","Jl. Raya Jatinegara Timur No. 18, RT001/001, Bali Mester, Jatinegara, Jakarta Timur",,Jl. Raya Jatinegara Timur No. 18,001,001,Bali Mester,Jatinegara,Jakarta Timur,,(021) 8192421,,,Usaha Menengah ,Perdagangan,Perdaganganhasil perkebunan (karet),PT,DEP.PERINDAG (SIUP) NOMOR : 00524-05/PM/1.8,
"ADAJAYA INDONESIA CHEMICAL, PT","Jl. Kedoya Duri Raya No. 30 A, RT019/004, Kebon Jeruk, Jakarta Barat",,Jl. Kedoya Duri Raya No. 30 A,019,004,,Kebon Jeruk,Jakarta Barat,,021 5806438,,,Usaha Kecil ,Perdagangan,Sub-distributor : bahan kimia untuk industri makan,PT,SIUP : NOMOR : 0035 / 1. 824. 221 / 0110,02.424.209.1-035.000
"ADAKOM INTERNATIONAL TECHNOLOGY, PT","Jl. Gunung Sahari Raya No. 1 Komp.Mangga Dua Square Blok H No. 24, Pademangan, Jakarta Utara",,Jl. Gunung Sahari Raya No. 1 Komp.Mangga Dua Square Blok H No. 24,,,,Pademangan,Jakarta Utara,,612455,6126456,,Usaha Menengah ,Perdagangan,"Perdagangan besar mesin-mesin, suku cadang",PT,"DINAS KOP, UMKM DAN PERDAGANGAN DKI JKT NOMOR 0319","02,791,931,5-044,000"
ADAM AIR,"Jl. Kusuma Blok C 5 No. 28, Jakarta Barat",,Jl. Kusuma Blok C 5 No. 28,,,,,Jakarta Barat,,,,,Usaha Mikro ,Jasa,Biro perjalanan,PERORANGAN,,
ADAM JAYA MOTOR,"Jl. Angke Indah V, Jakarta Barat",,Jl. Angke Indah V,,,,,Jakarta Barat,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
ADAM PRINTING,"Jl. Mampang Prapatan VIII No. 53, Jakarta Selatan",,Jl. Mampang Prapatan VIII No. 53,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa / Produksi Lainnya,Membuat sablon,PERORANGAN,,
"ADAMAS ABADI, PT",Komplek Mutiara Taman Palem Blok A 17 No.52,Komplek Mutiara Taman Palem Blok A 17 No.52,,,,,Cengkareng,Jakarta Barat,,021 54350090,,,Usaha Kecil ,Perdagangan,Sub. distributor : bahan kimia untuk plastik (ti,PT,NOMOR : 5623 / 1. 824. 221 / 1109,03.016.501.3-034.000
"ADAN PUTRA MANDIRI, CV",Kp. Sumur,Kp. Sumur,,012,010,Klender,Duren Sawit,Jakarta Timur,,(021) 86604317,(021) 86604317,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",CV,DEP.PERINDAG (SIUP) NOMOR : 3713/13 - 1.824,
"ADAPTIVE AUTOMATION SYSTEM, PT","Jl. Wira Darma IV / Q 6 B, RT004/007, Cipinang Melayu, Makassar, Jakarta Timur",,Jl. Wira Darma IV / Q 6 B,004,007,Cipinang Melayu,Makassar,Jakarta Timur,,(021) 8602654,(021) 8602654,,Usaha Kecil ,Perdagangan,Perdagangan alat telekomunikasi / komputer dan suk,PT,DEP.PERINDAG (SIUP) NOMOR : 4298/13 - 1.824,
"ADARA MUKTI, CV","Jl. Permata Timur Raya Blok F. 2, RT007/008, Pondok Kelapa, Duren Sawit, Jakarta Timur",,Jl. Permata Timur Raya Blok F. 2,007,008,Pondok Kelapa,Duren Sawit,Jakarta Timur,,(021) 8646557,,,Usaha Kecil ,Perdagangan,"Perdagangan pupuk, pestisida",CV,DEP.PERINDAG (SIUP) NOMOR : 01138-05/PK/1.8,
"ADCOSURYA SAKTI, PT","Jl. Letjen. S. Parman No. D 5, Palmerah, Jakarta Barat",,Jl. Letjen. S. Parman No. D 5,,,,Palmerah,Jakarta Barat,,021 5359911,,,Usaha Menengah ,Perdagangan,"Sub. distributor : alat telekomunikasi, alat te",PT,SIUP : NOMOR : 00346 - 03 / PK / 1.824.271,
"ADE MANDIRI CIPTA, CV",Kp. Jembatan,Kp. Jembatan,,010,014,Penggilingan,Cakung,Jakarta Timur,,(021) 4701556,(021) 4701556,,Usaha Kecil ,Perdagangan,"51900, 51391. 11. jenis barang/jasa dagangan utam",CV,DEP.PERINDAG (SIUP) NOMOR : 4230/P/13 - 1.8,
ADE PERAK,,,,,,,,Jakarta Timur,,,,,Usaha Mikro ,,Kerajinan perak,,"SUDIN KOPERASI, USAHA MIKRO KECIL DAN MENENGAH DAN",
"ADELANOS MANDIRI, CV","Jl. Mundu No. 80, RT001/004, Lubang Buaya, Cipayung, Jakarta Timur",,Jl. Mundu No. 80,001,004,Lubang Buaya,Cipayung,Jakarta Timur,,021-70987845,021-70987845,,Usaha Kecil ,Perdagangan,Makanan dan minuman ringan (bukan restoran / minim,CV,DEP.PERINDAG (SIUP) NOMOR : 2215/P/13 - 1.824.,
"ADELINA NAULI, PT","Jl. Dr. Makaliwe I No. 10 B, RT008/006, Grogol Petamburan, Jakarta Barat",,Jl. Dr. Makaliwe I No. 10 B,008,006,,Grogol Petamburan,Jakarta Barat,,021 5654485,021 - 5656591,,Usaha Menengah ,Jasa / Produksi Lainnya,"Suku cadang mobil (bukan bengkel), pakaian -jadi /",PT,SIUP : NOMOR : 0215 / 1. 824. 221 / 0210,31.157.750.6-036.000
"ADHAMIR PUTERA, CV","Jl. Raya Centex No. 30, RT007/003, Ciracas, Ciracas, Jakarta Timur",,Jl. Raya Centex No. 30,007,003,Ciracas,Ciracas,Jakarta Timur,,(021) 8704518,(021) 8704518,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",CV,DEP.PERINDAG (SIUP) NOMOR : 3831/P/13 - 1.8,
ADHESTY KREASI MANDIRI Tang An,"Jl. Kelapa Gading No. 28, Gandaria Selatan, Cilandak, Jakarta Selatan 12420",,Jl. Kelapa Gading No. 28,,,Gandaria Selatan,Cilandak,Jakarta Selatan,12420,(021) 7659777,,,,Perdagangan,,PT,,
"ADHI KREASI TEKNIK, PT","Jl. Cabe Rawit No. 58 F, Cengkareng, Jakarta Barat",,Jl. Cabe Rawit No. 58 F,,,,Cengkareng,Jakarta Barat,,021 31904289,,,Usaha Menengah ,Perdagangan,"Sub. distributor, ekspor ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½_x0080__x0093_ impor : bahan konstru",PT,SIUP : NOMOR : 0831 / 1. 824. 221 / 0610,1.930.799.0-034
"ADHI MAKMUR ,CV","Jl. Kp. Gaga Rawa Gatal No. 10, RT006/004, Kalideres, Jakarta Barat 11850",,Jl. Kp. Gaga Rawa Gatal No. 10,006,004,,Kalideres,Jakarta Barat,11850,021 5664870,,,Usaha Kecil ,Perdagangan,"Alat tulis, perlengkapan kantor, barang cetakan",CV,NOMOR : 4991 / 1. 824. 221 / 0709,02.305.870.4-085.000
"ADHI NETRA GLOBALINDO , CV","Komp. Business Park Kebon Jeruk B 12, Jl. Meruya Ilir No. 88, RT001/006, Kembangan, Jakarta Barat 11620",Komp. Business Park Kebon Jeruk B 12,Jl. Meruya Ilir No. 88,001,006,,Kembangan,Jakarta Barat,11620,021 99488877,021 30067031,,Usaha Kecil ,Perdagangan,Alat teknik / mekanikal / elektrikal / telekomunik,CV,NOMOR : 1074 / 1. 824. 221 / 0510,02.275.206.7-086.000
"ADHI SEMESTA TEKNIK , CV",Ruko Citra Niaga Blok B / 16,Ruko Citra Niaga Blok B / 16,,,,,Kalideres,Jakarta Barat,11830,021 5403768,,,Usaha Kecil ,Perdagangan,Elektrikal / mekanikal / alat listrik / kabel / la,CV,NOMOR : 1249 / 1. 824. 221 / 0610,03.017.214.2-085.000
"ADHI KARYA UTAMA, CV",Pulogebang,Pulogebang,,006,006,Pulogebang,Cakung,Jakarta Timur,,(021) 44769223,(021) 44769223,,Usaha Kecil ,Jasa,,CV,DEP.PERINDAG (SIUP) NOMOR : 5361/13 - 1.824,
"ADHI LUCKY MERITAMA, CV","Jl. Otista III Kebon Nanas Utara II No. 4, RT016/004, Cipinang Cempedak, Jatinegara, Jakarta Timur",,Jl. Otista III Kebon Nanas Utara II No. 4,016,004,Cipinang Cempedak,Jatinegara,Jakarta Timur,,(021) 70557701,,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",CV,DEP.PERINDAG (SIUP) NOMOR : 00069-05/PK/P1/,
"ADHI RAHAYU, CV","Jl. Raya Pondok Gede No. 18, RT005/008, Lubang Buaya, Cipayung, Jakarta Timur",,Jl. Raya Pondok Gede No. 18,005,008,Lubang Buaya,Cipayung,Jakarta Timur,,(021) 8467283,(021) 8467283,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, alat teknik, mekanik",CV,DEP.PERINDAG (SIUP) NOMOR : 2168/P/13 - 1.8,
"ADHI RANCANG SELARAS, PT","Jl. Tj Duren Utara Viii/ Gg.I No. 150 Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat",,Jl. Tj Duren Utara Viii/ Gg.I No. 150 Tanjung Duren Utara,,,,Grogol Petamburan,Jakarta Barat,,021-5670441 / 021-56964913,,,Usaha Menengah ,Jasa / Produksi Lainnya,,PT,,
"ADHI SURYA BAJATAMA, PT","Jl. Kapuk Utara I No. 6, RT001/003, Penjaringan, Jakarta Utara",,Jl. Kapuk Utara I No. 6,001,003,,Penjaringan,Jakarta Utara,,021 5437710,021 5437710,,Usaha Kecil ,Perdagangan,,PT,SUDIN KOP. UMKM DAN PERDAGANGAN JAKUT,21.090.809.1-047.000
"ADHI UTAMA, CV","Jl. Kayu Jati IV No. 24, RT012/004, Rawamangun, Pulo Gadung, Jakarta Timur",,Jl. Kayu Jati IV No. 24,012,004,Rawamangun,Pulo Gadung,Jakarta Timur,,(021) 47867936,,,Usaha Kecil ,Perdagangan,Perdagangan alat kesehatan.,CV,DEP.PERINDAG (SIUP) NOMOR : 00296-05/MK/P1/1,
"ADHI WIRATAMA MANDIRI, PT","Jl. Radin Inten II No. 7k, RT005/014, Duren Sawit, Duren Sawit, Jakarta Timur",,Jl. Radin Inten II No. 7k,005,014,Duren Sawit,Duren Sawit,Jakarta Timur,,(021) 86613675 / 8632660,(021) 86613675 / 8632660,,Usaha Menengah ,Perdagangan,"Perdagangan alat teknik, mekanikal, alat listrik/",PT,DEP.PERINDAG (SIUP) NOMOR : 2612/P/13 - 1.8,
"ADHIANA INTI GEMILANG, PT","Jl. Industri Raya No. 9-11 Rk 1/2, Sawah Besar, Jakarta Pusat",,Jl. Industri Raya No. 9-11 Rk 1/2,,,,Sawah Besar,Jakarta Pusat,,021 6285545,021 6285545,,Usaha Kecil ,Jasa,Jasa pengurusan transportasi (jpt),PT,DEP. PERHUBUNGAN,01.877.106.3.028.000
"ADHIANA INVESTASI, PT","Gedung Annex Building lt. 2, Jl. Jend.Sudirman Kav. 86, Tanah Abang, Jakarta Pusat",Gedung Annex Building lt. 2,Jl. Jend.Sudirman Kav. 86,,,,Tanah Abang,Jakarta Pusat,,5704592,,,Usaha Menengah ,Perdagangan,Perdagangan besar lainnya,PT,DEP.PERINDAG (SIUP) NO.02904/182451,"02,426,783,3,022,000"
"ADHIKA RIZKY, CV","Jl. Torompio Blok J No. 7, RT002/006, Kelapa Gading, Jakarta Utara",,Jl. Torompio Blok J No. 7,002,006,,Kelapa Gading,Jakarta Utara,,664070,664070,,Usaha Kecil ,Perdagangan,"(51220) perdagangan besar makanan, minuman dan has",CV,"SUDIN KOP, UMKM DAN PERDAGANGAN JAKUT NOMOR 1143/1","02,846,188,7-043,000"
"ADHIKARA ANDALAN PERSADA, PT","Gd. Wisma Bank Dharmala lt. 6, Jl. Jend Sudirman Kav. 28, Setiabudi, Jakarta Selatan",Gd. Wisma Bank Dharmala lt. 6,Jl. Jend Sudirman Kav. 28,,,,Setiabudi,Jakarta Selatan,,5226676,,,Usaha Menengah ,Perdagangan,,PT,DEP. PERINDAG: SIUP NO. 274.HT.01.01T.H.2003,"22,618,227,0,11"
"ADHIKARA CIPTA MULIA, PT","Jl. Lautze No. 2 Pasar Baru, Sawah Besar, Jakarta Pusat",,Jl. Lautze No. 2 Pasar Baru,,,,Sawah Besar,Jakarta Pusat,,87960659,,,Usaha Menengah ,Perdagangan,Perdagangan besar mesin peralatan dan perlengkapan,PT,DEP.PERINDAG (SIUP) NO.0106/182451,21.126.959.2.075.000
"ADHIKARYA BANGUN JAYA, PT","Gd. Wisma Bank Dharmala lt. 6, Jl. Jend Sudirman Kav. 28, Setiabudi, Jakarta Selatan",Gd. Wisma Bank Dharmala lt. 6,Jl. Jend Sudirman Kav. 28,,,,Setiabudi,Jakarta Selatan,,5226676,,,Usaha Menengah ,Perdagangan,Perdagangan besar lainnya,PT,DEP. PERINDAG: SIUP NO. 00306/1.824.51,"22,618,235,0,11"
"ADHIKARYA KENCANA DINAMIS, PT","Jl. Pemuda No. 72, RT002/004, Jati, Pulo Gadung, Jakarta Timur",,Jl. Pemuda No. 72,002,004,Jati,Pulo Gadung,Jakarta Timur,,(021) 47867115,(021) 47867115,,Usaha Kecil ,Perdagangan,Perdagangan makanan dan minuman ringan (bukan rest,PT,DEP.PERINDAG (SIUP) NOMOR : 5533/13 - 1.824,
"ADHIKAYASA PRATAMA, PT","Jl. Macan No. 6 Ruko Blok A 3 Daan Mogot, RT010/001, Kedoya Utara, Kebon Jeruk, Jakarta Barat",,Jl. Macan No. 6 Ruko Blok A 3 Daan Mogot,010,001,Kedoya Utara,Kebon Jeruk,Jakarta Barat,,021 5655907-08,,,Usaha Menengah ,Perdagangan,"Sub. distributor, ekspor - impor : elektronik / f",PT,SIUP : NOMOR : 0460 / 1. 824. 221 / 0410,01.392.371.9-036.000
"ADHIMA BANGUN PRATAMA , CV","Jl. K.H. A. Wahab, RT002/006, Cengkareng, Jakarta Barat 11750",,Jl. K.H. A. Wahab,002,006,,Cengkareng,Jakarta Barat,11750,021 5455644,,,Usaha Kecil ,Perdagangan,"Furniture, bahan konstruksi, alat teknik / -mekani",CV,NOMOR : 0092 / 1. 824. 221 / 0110,03.016.624.3-034.000
"ADHIMARTA PERSADA, PT",Komplek Ruko Green Garden Blok Z II No.58-59,Komplek Ruko Green Garden Blok Z II No.58-59,,,,,Kebon Jeruk,Jakarta Barat,,021 5828372,,,Usaha Menengah ,Jasa / Produksi Lainnya,Sub. distributor. : elektrikal / mekanikal / mesi,PT,SIUP : NOMOR : 3685 / 1. 824. 221 / 0909,02.751.361.3-039.000
"ADHINATA KARUNIA MULIA, PT","Jl. Radin Inten II No. 3, RT008/010, Duren Sawit, Duren Sawit, Jakarta Timur",,Jl. Radin Inten II No. 3,008,010,Duren Sawit,Duren Sawit,Jakarta Timur,,(021) 8617425,(021) 8617425,,Usaha Kecil ,Perdagangan,"Perdagangan alat konstruksi, bahan bangunan",PT,DEP.PERINDAG (SIUP) NOMOR : 2382/13 - 1.824,
"ADHINATA KARYA MARMER, PT","Jl. Radin Inten II No. 3, RT008/015, Duren Sawit, Duren Sawit, Jakarta Timur",,Jl. Radin Inten II No. 3,008,015,Duren Sawit,Duren Sawit,Jakarta Timur,,(021) 8617434,(021) 8606556,,Usaha Kecil ,Perdagangan,Perdagangan hasil pertambangan (baja)/ hasil hutan,PT,DEP.PERINDAG (SIUP) NOMOR : 01084-05/PK/P1/,
"ADHIRA NUSA PERSADA, CV","Jl. Cipinang Cempedak IV / 38, RT002/006, Cipinang Cempedak, Jatinegara, Jakarta Timur",,Jl. Cipinang Cempedak IV / 38,002,006,Cipinang Cempedak,Jatinegara,Jakarta Timur,,021 8467737,021 8467737,,Usaha Kecil ,Perdagangan,Suku cadang kereta api dan perlengkapannya,CV,DEP.PERINDAG (SIUP) NOMOR : 3557/P/13 - 1.8,
"ADHISWARA ARINAS, PT","Jl. Kalimalang No. C. 11, RT007/012, Pondok Bambu, Duren Sawit, Jakarta Timur",,Jl. Kalimalang No. C. 11,007,012,Pondok Bambu,Duren Sawit,Jakarta Timur,,021 86609965,021 86609965,,Usaha Kecil ,Perdagangan,Perdagangan alat tulis kantor / komputer,PT,DEP.PERINDAG (SIUP) NOMOR : 1902/13 - 1.824,
"ADHITYA JAYA UTAMA, CV","Jl. Pisangan Baru Utara No. 18, RT012/008, Utan Kayu Selatan, Matraman, Jakarta Timur",,Jl. Pisangan Baru Utara No. 18,012,008,Utan Kayu Selatan,Matraman,Jakarta Timur,,021 8503728,021 8503728,,Usaha Kecil ,Perdagangan,"Perdagangan alat tulis kantor, barang cetakan",CV,DEP.PERINDAG (SIUP) NOMOR : 3488/13 - 1.824,02.835.177.3-001.000
"ADHIYASA REKAMANDIRI SISTEM INTEGRASI, PT","Jl. Biru Laut X Kav. 10 A, Cipinang Cempedak, Jatinegara, Jakarta Timur",,Jl. Biru Laut X Kav. 10 A,,,Cipinang Cempedak,Jatinegara,Jakarta Timur,,021 8508525,021 8508525,,Usaha Menengah ,Perdagangan,"Perdagangan alat mekanikal, elektrikal, komputer",PT,DEP.PERINDAG (SIUP) NOMOR : 1779/P/13 - 1.8,02.333.223.2-002.000
"ADHY\'S PUTRA, CV",,,,,,,,Jakarta Timur,,87790865,,,Usaha Mikro ,,Industri tas kulit,,"SUDIN KOPERASI, USAHA MIKRO KECIL DAN MENENGAH DAN",
"ADI CITRA , CV","Jl. Kiruntag No. 12, RT002/001, Kebon Jeruk, Jakarta Barat 11550",,Jl. Kiruntag No. 12,002,001,,Kebon Jeruk,Jakarta Barat,11550,021 9170105,,,Usaha Mikro ,Perdagangan,"Alat tulis kantor, alat tehnik / mekanikal / -elek",CV,NOMOR : /1. 824. 221/0309,01.904.088.0-035.000
"ADI DWI PUTRA , CV","Jl. Harum Manis No. 42, RT004/002, Tamansari, Jakarta Barat 11180",,Jl. Harum Manis No. 42,004,002,,Tamansari,Jakarta Barat,11180,021 6019416,,,Usaha Kecil ,Perdagangan,"Perlengkapan pegawai, furniture, alat tulis kantor",CV,NOMOR : 0529 / 1. 824. 221 / 0410,01.721.473.5-032.000
"ADI PERKASA BUANA, PT","Jl. Mangga Besar VIII No. 25, Tamansari, Jakarta Barat",,Jl. Mangga Besar VIII No. 25,,,,Tamansari,Jakarta Barat,,021 6333538,,,Usaha Kecil ,Perdagangan,"Sub. distributor. : elektronik, bahan konstruksi,",PT,SIUP : NOMOR : 0012 / 1. 824. 221 / 0110,01.300.366.0-032.000
"ADI PUNDI KENCANA , CV","Jl. Lingkar Luar Barat Blok A6 No. 8, RT006/014, Cengkareng, Jakarta Barat 11730",,Jl. Lingkar Luar Barat Blok A6 No. 8,006,014,,Cengkareng,Jakarta Barat,11730,021 54350048,,,Usaha Kecil ,Perdagangan,"Obat jadi (tanpa resep dokter), - alat tulis kant",CV,NOMOR : /1. 824. 221/0309,02.885.624.3-034.000
"ADI PUTRA MANGGALA, PT","Jl. Mangga Dua Raya No. 31 / 3, RT009/002, Jakarta Barat 11110",,Jl. Mangga Dua Raya No. 31 / 3,009,002,,,Jakarta Barat,11110,021 6598404,,,Usaha Kecil ,,Alat listrik / elektronik / teknik / konstruksi /,,"KOTA JAKARTA BARAT/TATI BUDIARTI, SE, MM(NIP. 0700",02.188.929.0-037.000
"ADI TRIOMITRA, PT","Hayam Wuruk Plaza Tower Lantai VI F, Jl. Hayam Wuruk No. 108, Jakarta Barat 11160",Hayam Wuruk Plaza Tower Lantai VI F,Jl. Hayam Wuruk No. 108,,,,,Jakarta Barat,11160,021 6122234,,,Usaha Kecil ,,"Alat tehnik / mekanikal, elektrikal / pertambangan",,"KOTA JAKARTA BARAT/TATI BUDIARTI, SE, MM(NIP. 0700",01.581.816.4-032.000
"ADI TUNGGAL CIPTA, PT","Jl. Gelong Baru Barat II / 12, Grogol Petamburan, Jakarta Barat",,Jl. Gelong Baru Barat II / 12,,,,Grogol Petamburan,Jakarta Barat,,021 3861542,,,Usaha Kecil ,Perdagangan,"Sub distributor : furniture, barang cetakan / al",PT,SIUP : NOMOR : 5221 / 1. 824. 221 / 0909,02.414.808.2-036.000
"ADI CIPTA KARSA, CV","Jl. Sepakat Vii, RT009/001, Cilangkap, Cipayung, Jakarta Timur",,Jl. Sepakat Vii,009,001,Cilangkap,Cipayung,Jakarta Timur,,(021) 8441885,,,Usaha Kecil ,Perdagangan,"Perdagangan alat tuilis kantor, barang cetakan/ al",CV,DEP.PERINDAG (SIUP) NOMOR : 01005-05/PK/1.8,
ADI JAYA,"Jl. Marsela I No. 0, Jakarta Selatan",,Jl. Marsela I No. 0,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Jasa,Pengecatan mobil,PERORANGAN,,
"ADI JAYA INTERNATIONAL, PT",Ruko Permata Ancol Blok K No.10,Ruko Permata Ancol Blok K No.10,,,,,Pademangan,Jakarta Utara,,4561781,,,Usaha Menengah ,Perdagangan,(53391) perdagangan ekspor peralatan dan perlengak,PT,BKPM NOMOR 1542/I/PMA/2008,"02,791,794,7-044,000"
"ADI JAYA LESTARI, CV","Jl. Enkasari No. 19, RT009/017, Duren Sawit, Duren Sawit, Jakarta Timur",,Jl. Enkasari No. 19,009,017,Duren Sawit,Duren Sawit,Jakarta Timur,,(021) 8620257,(021) 8620257,,Usaha Kecil ,Perdagangan,Perdagangan barang cetakan,CV,DEP.PERINDAG (SIUP) NOMOR : 5126/P/13 - 1.8,02.073.501.5-008.000
